APL_ID;Customer_ID;Period;y;SetupCost;Demand
100mN29606E43185;100mN29609E43176;1;1.0;5500.0;1925.374592046416
100mN29606E43185;100mN29606E43179;1;1.0;5500.0;930.5977194891011
100mN29606E43185;100mN29609E43180;1;1.0;5500.0;3128.733712075426
100mN29606E43185;100mN29606E43182;1;1.0;5500.0;1331.7174261654377
100mN29606E43185;100mN29602E43185;1;1.0;5500.0;168.47027680406143
100mN29606E43185;100mN29606E43185;1;1.0;5500.0;561.5675893468713
100mN29606E43185;100mN29600E43189;1;1.0;5500.0;88.24633546879407
100mN29606E43185;100mN29602E43188;1;1.0;5500.0;176.49267093758814
100mN29606E43185;100mN29606E43189;1;1.0;5500.0;32.08957653410693
100mN29606E43185;100mN29599E43193;1;1.0;5500.0;120.335912002901
100mN29606E43185;100mN29603E43191;1;1.0;5500.0;208.58224747169507
100mN29606E43198;100mN29609E43193;1;1.0;5500.0;72.20154720174061
100mN29606E43198;100mN29598E43194;1;1.0;5500.0;96.2687296023208
100mN29606E43198;100mN29606E43194;1;1.0;5500.0;1107.0903904266893
100mN29606E43198;100mN29611E43196;1;1.0;5500.0;248.69421813932877
100mN29606E43198;100mN29603E43197;1;1.0;5500.0;1283.5830613642772
100mN29606E43198;100mN29606E43197;1;1.0;5500.0;938.6201136226279
100mN29606E43198;100mN29600E43200;1;1.0;5500.0;441.2316773439703
100mN29606E43198;100mN29603E43201;1;1.0;5500.0;1427.9861557677586
100mN29606E43198;100mN29604E43202;1;1.0;5500.0;32.08957653410693
100mN29606E43198;100mN29603E43203;1;1.0;5500.0;473.3212538780773
100mN29606E43198;100mN29604E43203;1;1.0;5500.0;537.5004069462912
100mN29606E43198;100mN29611E43203;1;1.0;5500.0;304.8509770740159
100mN29608E43162;100mN29618E43155;1;1.0;5500.0;481.343648011604
100mN29608E43162;100mN29603E43159;1;1.0;5500.0;72.20154720174061
100mN29608E43162;100mN29606E43159;1;1.0;5500.0;1395.8965792336514
100mN29608E43162;100mN29615E43159;1;1.0;5500.0;80.22394133526733
100mN29608E43162;100mN29615E43165;1;1.0;5500.0;1235.448696563117
100mN29608E43162;100mN29609E43173;1;1.0;5500.0;2928.173858737258
100mN29608E43162;100mN29615E43173;1;1.0;5500.0;2703.5468229985095
100mN29608E43179;100mN29609E43164;1;1.0;5500.0;4869.593239050727
100mN29608E43179;100mN29612E43167;1;1.0;5500.0;2575.1885168620815
100mN29608E43179;100mN29606E43170;1;1.0;5500.0;1997.5761392481568
100mN29608E43179;100mN29615E43170;1;1.0;5500.0;4051.3090374310004
100mN29608E43179;100mN29599E43174;1;1.0;5500.0;794.2170192191467
100mN29608E43179;100mN29601E43174;1;1.0;5500.0;56.15675893468713
100mN29608E43179;100mN29612E43173;1;1.0;5500.0;6995.527684435311
100mN29608E43179;100mN29600E43176;1;1.0;5500.0;1869.2178331117289
100mN29608E43179;100mN29599E43179;1;1.0;5500.0;882.4633546879406
100mN29608E43179;100mN29609E43182;1;1.0;5500.0;1107.0903904266893
100mN29608E43179;100mN29610E43182;1;1.0;5500.0;160.44788267053465
100mN29608E43179;100mN29608E43185;1;1.0;5500.0;593.6571658809783
100mN29611E43167;100mN29609E43158;1;1.0;5500.0;1805.0386800435151
100mN29611E43167;100mN29618E43158;1;1.0;5500.0;954.6649018896812
100mN29611E43167;100mN29606E43161;1;1.0;5500.0;2182.0912043192716
100mN29611E43167;100mN29609E43161;1;1.0;5500.0;3032.464982473105
100mN29611E43167;100mN29612E43162;1;1.0;5500.0;2623.3228816632422
100mN29611E43167;100mN29613E43161;1;1.0;5500.0;24.0671824005802
100mN29611E43167;100mN29617E43161;1;1.0;5500.0;88.24633546879407
100mN29611E43167;100mN29624E43163;1;1.0;5500.0;673.8811072162457
100mN29611E43167;100mN29598E43166;1;1.0;5500.0;88.24633546879407
100mN29611E43167;100mN29606E43164;1;1.0;5500.0;730.0378661509328
100mN29611E43167;100mN29612E43164;1;1.0;5500.0;2543.0989403279746
100mN29611E43167;100mN29617E43165;1;1.0;5500.0;1684.702768040614
100mN29611E43167;100mN29600E43167;1;1.0;5500.0;152.42548853700794
100mN29611E43167;100mN29603E43169;1;1.0;5500.0;112.31351786937427
100mN29611E43167;100mN29606E43167;1;1.0;5500.0;441.2316773439703
100mN29611E43167;100mN29609E43167;1;1.0;5500.0;3449.6294774164953
100mN29611E43167;100mN29615E43168;1;1.0;5500.0;3553.920601152343
100mN29611E43167;100mN29618E43168;1;1.0;5500.0;601.679560014505
100mN29611E43167;100mN29624E43167;1;1.0;5500.0;433.20928321044363
100mN29611E43167;100mN29600E43170;1;1.0;5500.0;184.51506507111486
100mN29611E43167;100mN29603E43170;1;1.0;5500.0;369.0301301422297
100mN29611E43167;100mN29609E43170;1;1.0;5500.0;2775.74837020025
100mN29611E43167;100mN29612E43170;1;1.0;5500.0;4620.899020911399
100mN29611E43167;100mN29606E43173;1;1.0;5500.0;2270.3375397880654
100mN29611E43167;100mN29606E43176;1;1.0;5500.0;1123.1351786937425
100mN29611E43167;100mN29612E43176;1;1.0;5500.0;3369.405536081228
100mN29611E43167;100mN29613E43176;1;1.0;5500.0;128.35830613642773
